age_at_visit,age_group,age_group_display
0,age_00_to_01,Infant
1,age_01_to_05,Early childhood
2,age_01_to_05,Early childhood
3,age_01_to_05,Early childhood
4,age_01_to_05,Early childhood
5,age_05_to_12,Childhood
6,age_05_to_12,Childhood
7,age_05_to_12,Childhood
8,age_05_to_12,Childhood
9,age_05_to_12,Childhood
10,age_05_to_12,Childhood
11,age_05_to_12,Childhood
12,age_12_to_18,Adolescence
13,age_12_to_18,Adolescence
14,age_12_to_18,Adolescence
15,age_12_to_18,Adolescence
16,age_12_to_18,Adolescence
17,age_12_to_18,Adolescence
18,age_18_to_40,Young adult
19,age_18_to_40,Young adult
20,age_18_to_40,Young adult
21,age_18_to_40,Young adult
22,age_18_to_40,Young adult
23,age_18_to_40,Young adult
24,age_18_to_40,Young adult
25,age_18_to_40,Young adult
26,age_18_to_40,Young adult
27,age_18_to_40,Young adult
28,age_18_to_40,Young adult
29,age_18_to_40,Young adult
30,age_18_to_40,Young adult
31,age_18_to_40,Young adult
32,age_18_to_40,Young adult
33,age_18_to_40,Young adult
34,age_18_to_40,Young adult
35,age_18_to_40,Young adult
36,age_18_to_40,Young adult
37,age_18_to_40,Young adult
38,age_18_to_40,Young adult
39,age_18_to_40,Young adult
40,age_40_to_65,Middle adult
41,age_40_to_65,Middle adult
42,age_40_to_65,Middle adult
43,age_40_to_65,Middle adult
44,age_40_to_65,Middle adult
45,age_40_to_65,Middle adult
46,age_40_to_65,Middle adult
47,age_40_to_65,Middle adult
48,age_40_to_65,Middle adult
49,age_40_to_65,Middle adult
50,age_40_to_65,Middle adult
51,age_40_to_65,Middle adult
52,age_40_to_65,Middle adult
53,age_40_to_65,Middle adult
54,age_40_to_65,Middle adult
55,age_40_to_65,Middle adult
56,age_40_to_65,Middle adult
57,age_40_to_65,Middle adult
58,age_40_to_65,Middle adult
59,age_40_to_65,Middle adult
60,age_40_to_65,Middle adult
61,age_40_to_65,Middle adult
62,age_40_to_65,Middle adult
63,age_40_to_65,Middle adult
64,age_40_to_65,Middle adult
65,age_65_plus,Older adult
66,age_65_plus,Older adult
67,age_65_plus,Older adult
68,age_65_plus,Older adult
69,age_65_plus,Older adult
70,age_65_plus,Older adult
71,age_65_plus,Older adult
72,age_65_plus,Older adult
73,age_65_plus,Older adult
74,age_65_plus,Older adult
75,age_65_plus,Older adult
76,age_65_plus,Older adult
77,age_65_plus,Older adult
78,age_65_plus,Older adult
79,age_65_plus,Older adult
80,age_65_plus,Older adult
81,age_65_plus,Older adult
82,age_65_plus,Older adult
83,age_65_plus,Older adult
84,age_65_plus,Older adult
85,age_65_plus,Older adult
86,age_65_plus,Older adult
87,age_65_plus,Older adult
88,age_65_plus,Older adult
89,age_65_plus,Older adult
90,age_65_plus,Older adult
91,age_65_plus,Older adult
92,age_65_plus,Older adult
93,age_65_plus,Older adult
94,age_65_plus,Older adult
95,age_65_plus,Older adult
96,age_65_plus,Older adult
97,age_65_plus,Older adult
98,age_65_plus,Older adult
99,age_65_plus,Older adult
100,age_65_plus,Older adult
101,age_65_plus,Older adult
102,age_65_plus,Older adult
103,age_65_plus,Older adult
104,age_65_plus,Older adult
105,age_65_plus,Older adult
106,age_65_plus,Older adult
107,age_65_plus,Older adult
108,age_65_plus,Older adult
109,age_65_plus,Older adult
110,age_65_plus,Older adult
111,age_65_plus,Older adult
112,age_65_plus,Older adult
113,age_65_plus,Older adult
114,age_65_plus,Older adult
115,age_65_plus,Older adult
116,age_65_plus,Older adult
117,age_65_plus,Older adult
118,age_65_plus,Older adult
119,age_65_plus,Older adult
120,age_65_plus,Older adult
